rank,responder,best_iteration,responder_zero_mean_r2,responder_centered_r2,responder_prediction_corr,true_responder_target_corr,hat_target_residual_corr,residual_coefficient,target_baseline_r2,target_augmented_r2,target_incremental_r2
1,responder_14,150,0.6709259425978312,0.43281904794533266,0.6601181573233588,0.018776674710746826,0.009425733956871426,9.604922618774907,0.00036231819566012735,0.0004230472565581733,6.072906089804597e-05
2,responder_09,91,0.5392905195273789,0.2793130880925092,0.5304203366072303,0.22762111528390658,-0.008359468796085822,-6.594175822521239,0.00036231819566012735,0.0004191530446746583,5.683484901453095e-05
3,responder_08,92,0.5890524910894193,0.32937899713301777,0.5759993429887419,0.14022949714597158,-0.008610834984916353,-6.86961014339958,0.00036231819566012735,0.0004156872882015161,5.3369092541388774e-05
4,responder_10,92,0.4815608828382194,0.21776323555529542,0.46720349670153233,0.34576753398598215,-0.00792941262061493,-5.133035060504124,0.00036231819566012735,0.00041494307947420594,5.2624883814078594e-05
5,responder_22,150,0.7409939832716994,0.5128621933455919,0.7192564832434447,0.012302635728497508,0.008683145629944261,2.2761368465389573,0.00036231819566012735,0.0004138196055590848,5.150140989895746e-05
6,responder_23,147,0.7517033582224191,0.5211953956366078,0.7250656452998723,0.008510354043409886,0.008269495895778078,1.6200218130267807,0.00036231819566012735,0.0004122273243288843,4.9909128668756964e-05
7,responder_21,143,0.7122181331087007,0.4796027137153147,0.6952192180866303,0.016833382992953422,0.008967331483024475,4.02709349956829,0.00036231819566012735,0.00041186837406415044,4.955017840402309e-05
8,responder_42,123,0.3256374714413286,0.21415999679033126,0.4725373328068041,-0.003857110045312974,0.007164527668338191,104.34763814528235,0.00036231819566012735,0.00041052925202289536,4.821105636276801e-05
9,responder_07,148,0.702770130626233,0.46855958960577193,0.6869499925098619,-0.01363118396013621,-0.008718227726162457,-7.836061126996833,0.00036231819566012735,0.000409123833811309,4.680563815118166e-05
10,responder_15,147,0.5628390740696894,0.3185437439606198,0.568059371297095,0.15210032594218525,0.008089897443904634,6.263705828474987,0.00036231819566012735,0.00040870134838222327,4.638315272209592e-05
11,responder_41,146,0.6465352408565274,0.5005633240155887,0.7137128377612107,-0.011788069114683105,0.006896280335452944,110.46405773014331,0.00036231819566012735,0.00040829045716628265,4.59722615061553e-05
12,responder_24,132,0.7566527437722116,0.5205191480906245,0.7244478438079893,0.0038103574889584418,0.007531584156135138,0.9411810651152586,0.00036231819566012735,0.00040483022931336876,4.251203365324141e-05
13,responder_11,70,0.41518836235343304,0.1703435198182286,0.41398715149654364,0.36014793510474896,-0.006755476448949326,-3.41607221180356,0.00036231819566012735,0.0004015315610181869,3.9213365358059526e-05
14,responder_40,150,0.7023105932671503,0.564029839981051,0.7581323590969509,-0.010185927380549253,0.005760710143305697,117.86969504051024,0.00036231819566012735,0.0003975676317855559,3.5249436125428524e-05
15,responder_25,147,0.7643134515948486,0.517144090474396,0.7210481024828646,-0.007180066280160497,0.006917132224809849,0.43581177430954016,0.00036231819566012735,0.00039748576464826435,3.5167568988137e-05
16,responder_43,129,0.6583077917059384,0.3537211553837025,0.595939564291558,-0.001311875013343908,0.006583398504360456,3.8425962400032185,0.00036231819566012735,0.0003962342594536761,3.391606379354872e-05
17,responder_12,65,0.3367841058029577,0.14151369448828488,0.38447362907334187,0.2734864230614792,-0.005904519352008657,-2.81360658190269,0.00036231819566012735,0.00039361895804834734,3.1300762388219994e-05
18,responder_16,122,0.5519650810441383,0.29750455274915055,0.5491535773824884,0.2465745943574144,0.006497909798960952,3.7700223667222024,0.00036231819566012735,0.00038989781859821715,2.75796229380898e-05
19,responder_44,98,0.6421185466423354,0.3295910564655513,0.5758734475082602,-0.008656114302808953,0.005932835675030791,2.4007695997942275,0.00036231819566012735,0.0003891702806386732,2.6852084978545854e-05
20,responder_45,135,0.5205753827627009,0.2481900690028631,0.5046578713599583,-0.010153912700096607,0.005365214036842059,1.9552683821452428,0.00036231819566012735,0.00038557884703205314,2.326065137192579e-05
21,responder_39,148,0.7732906846542348,0.6548440800404759,0.8193783164695009,-1.2119819956299519e-05,0.004448774287916234,112.30436650349593,0.00036231819566012735,0.00038466412269100303,2.234592703087568e-05
